frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
87,2949.9,,,,,,,,,,9,610,885,,,,,,,9,771,916,,,,,,,,,,,,,,,,7,799,755,,,,,,
88,2982.1,,,,,,,,,,9,608,877,,,,,,,9,770,908,,,,,,,,,,,,,,,,8,797,747,,,,,,
89,3014.1,,,,,,,,,,9,606,869,,,,,,,9,768,899,,,,,,,,,,,,,,,,7,795,738,,,,,,
90,3051.1,,,,,,,,,,9,605,860,,,,,,,9,767,891,,,,,,,,,,,,,,,,7,793,729,,,,,,
91,3081.7,,,,,,,,,,9,603,852,,,,,,,9,765,882,,,,,,,,,,,,,,,,7,791,721,,,,,,
92,3113.7,,,,,,,,,,9,602,844,,,,,,,9,764,874,,,,,,,,,,,,,,,,8,790,714,,,,,,
93,3149.4,,,,,,,,,,9,600,837,,,,,,,9,762,866,,,,,,,,,,,,,,,,7,788,705,,,,,,
94,3181.8,,,,,,,,,,9,598,829,,,,,,,9,761,858,,,,,,,,,,,,,,,,7,786,697,,,,,,
95,3213.9,,,,,,,,,,9,597,822,,,,,,,8,759,850,,,,,,,,,,,,,,,,8,784,689,,,,,,
96,3249.5,,,,,,,,,,9,596,814,,,,,,,8,758,842,,,,,,,,,,,,,,,,7,782,681,,,,,,
97,3282.4,,,,,,,,,,9,594,807,,,,,,,8,756,834,,,,,,,,,,,,,,,,7,780,674,,,,,,
98,3313.8,,,,,,,,,,9,593,800,,,,,,,8,755,827,,,,,,,,,,,,,,,,7,779,666,,,,,,
99,3349.9,,,,,,,,,,9,592,792,,,,,,,8,754,819,,,,,,,,,,,,,,,,7,777,659,,,,,,
100,3381.6,,,,,,,,,,9,590,785,,,,,,,8,753,812,,,,,,,,,,,,,,,,7,776,651,,,,,,
101,3413.5,,,,,,,,,,9,589,778,,,,,,,9,751,804,,,,,,,,,,,,,,,,7,774,644,,,,,,
102,3449.9,,,,,,,,,,9,588,771,,,,,,,8,750,797,,,,,,,,,,,,,,,,7,772,637,,,,,,
103,3482.2,,,,,,,,,,9,586,765,,,,,,,8,748,790,,,,,,,,,,,,,,,,7,771,630,,,,,,
104,3519.5,,,,,,,,,,9,585,758,,,,,,,8,747,783,,,,,,,,,,,,,,,,7,769,623,,,,,,
105,3549.9,,,,,,,,,,9,584,751,,,,,,,8,746,776,,,,,,,,,,,,,,,,7,768,616,,,,,,
106,3582.7,,,,,,,,,,9,583,745,,,,,,,8,745,769,,,,,,,,,,,,,,,,7,766,609,,,,,,
107,3614.0,,,,,,,,,,9,582,738,,,,,,,8,744,762,,,,,,,,,,,,,,,,7,765,602,,,,,,
108,3649.8,,,,,,,,,,9,580,731,,,,,,,8,742,756,,,,,,,,,,,,,,,,7,763,595,,,,,,
109,3681.9,,,,,,,,,,9,579,725,,,,,,,8,741,748,,,,,,,,,,,,,,,,7,762,589,,,,,,
110,3714.0,,,,,,,,,,9,578,719,,,,,,,8,740,742,,,,,,,,,,,,,,,,7,760,582,,,,,,
111,3749.4,,,,,,,,,,9,577,713,,,,,,,9,739,735,,,,,,,,,,,,,,,,7,759,575,,,,,,
112,3782.4,,,,,,,,,,9,576,707,,,,,,,9,739,729,,,,,,,,,,,,,,,,7,757,569,,,,,,
113,3813.6,,,,,,,,,,9,575,701,,,,,,,8,737,722,,,,,,,,,,,,,,,,7,756,562,,,,,,
114,3849.6,,,,,,,,,,9,574,695,,,,,,,8,736,716,,,,,,,,,,,,,,,,7,755,556,,,,,,
115,3882.1,,,,,,,,,,9,573,688,,,,,,,9,735,710,,,,,,,,,,,,,,,,7,753,550,,,,,,
116,3916.7,,,,,,,,,,9,572,682,,,,,,,8,734,703,,,,,,,,,,,,,,,,7,752,543,,,,,,
117,3949.7,,,,,,,,,,8,571,676,,,,,,,9,733,697,,,,,,,,,,,,,,,,7,751,537,,,,,,
118,3981.9,,,,,,,,,,8,570,671,,,,,,,9,732,691,,,,,,,,,,,,,,,,7,750,531,,,,,,
119,4013.7,,,,,,,,,,9,569,665,,,,,,,9,731,685,,,,,,,,,,,,,,,,7,748,525,,,,,,
120,4049.5,,,,,,,,,,9,568,659,,,,,,,8,730,679,,,,,,,,,,,,,,,,7,747,519,,,,,,
121,4082.1,,,,,,,,,,8,567,653,,,,,,,9,729,673,,,,,,,,,,,,,,,,7,746,513,,,,,,
122,4113.9,,,,,,,,,,9,566,648,,,,,,,9,728,667,,,,,,,,,,,,,,,,7,745,506,,,,,,
123,4149.5,,,,,,,,,,9,565,642,,,,,,,9,727,661,,,,,,,,,,,,,,,,7,744,501,,,,,,
124,4183.1,,,,,,,,,,9,564,636,,,,,,,9,726,655,,,,,,,,,,,,,,,,7,743,495,,,,,,
125,4214.7,,,,,,,,,,9,564,631,,,,,,,9,726,649,,,,,,,,,,,,,,,,7,742,489,,,,,,
126,4250.0,,,,,,,,,,8,563,625,,,,,,,9,725,643,,,,,,,,,,,,,,,,7,741,483,,,,,,
127,4281.7,,,,,,,,,,9,562,620,,,,,,,9,724,637,,,,,,,,,,,,,,,,7,740,477,,,,,,
128,4313.8,,,,,,,,,,8,561,614,,,,,,,9,723,632,,,,,,,,,,,,,,,,7,739,471,,,,,,
129,4349.3,,,,,,,,,,9,560,609,,,,,,,9,722,626,,,,,,,,,,,,,,,,7,737,466,,,,,,
130,4381.4,,,,,,,,,,9,559,603,,,,,,,9,722,620,,,,,,,,,,,,,,,,7,736,460,,,,,,
131,4413.9,,,,,,,,,,8,558,598,,,,,,,9,721,614,,,,,,,,,,,,,,,,7,735,454,,,,,,
132,4449.6,,,,,,,,,,9,558,592,,,,,,,9,720,609,,,,,,,,,,,,,,,,7,734,449,,,,,,
133,4484.3,,,,,,,,,,8,557,587,,,,,,,9,719,603,,,,,,,,,,,,,,,,7,733,443,,,,,,
134,4514.1,,,,,,,,,,9,556,582,,,,,,,8,719,598,,,,,,,,,,,,,,,,7,732,437,,,,,,
135,4550.4,,,,,,,,,,9,556,576,,,,,,,9,718,592,,,,,,,,,,,,,,,,7,731,431,,,,,,
136,4585.3,,,,,,,,,,8,555,570,,,,,,,9,717,586,,,,,,,,,,,,,,,,7,731,425,,,,,,
137,4613.6,,,,,,,,,,9,554,566,,,,,,,8,716,580,,,,,,,,,,,,,,,,7,729,420,,,,,,
138,4649.4,,,,,,,,,,9,554,560,,,,,,,9,716,575,,,,,,,,,,,,,,,,7,729,414,,,,,,
139,4682.0,,,,,,,,,,9,553,555,,,,,,,8,715,569,,,,,,,,,,,,,,,,7,728,409,,,,,,
140,4716.4,,,,,,,,,,8,552,549,,,,,,,9,714,564,,,,,,,,,,,,,,,,7,727,403,,,,,,
141,4749.5,,,,,,,,,,9,551,544,,,,,,,8,714,558,,,,,,,,,,,,,,,,7,726,397,,,,,,
142,4781.7,,,,,,,,,,8,551,538,,,,,,,8,713,552,,,,,,,,,,,,,,,,7,725,391,,,,,,
143,4814.5,,,,,,,,,,9,550,533,,,,,,,8,713,547,,,,,,,,,,,,,,,,7,724,386,,,,,,
144,4850.0,,,,,,,,,,9,549,528,,,,,,,8,712,541,,,,,,,,,,,,,,,,7,723,380,,,,,,
145,4881.6,,,,,,,,,,8,549,522,,,,,,,9,711,535,,,,,,,,,,,,,,,,7,723,374,,,,,,
146,4915.1,,,,,,,,,,9,548,517,,,,,,,8,711,530,,,,,,,,,,,,,,,,7,722,369,,,,,,
147,4949.5,,,,,,,,,,9,547,511,,,,,,,8,710,524,,,,,,,,,,,,,,,,7,721,363,,,,,,
148,4981.8,,,,,,,,,,8,547,506,,,,,,,8,710,519,,,,,,,,,,,,,,,,7,720,357,,,,,,
149,5013.8,,,,,,,,,,9,546,501,,,,,,,9,709,513,,,,,,,,,,,,,,,,7,720,352,,,,,,
150,5049.4,,,,,,,,,,9,546,495,,,,,,,9,708,507,,,,,,,,,,,,,,,,7,718,346,,,,,,
151,5081.5,,,,,,,,,,9,545,490,,,,,,,9,708,501,,,,,,,,,,,,,,,,7,718,340,,,,,,
152,5113.9,,,,,,,,,,9,545,484,,,,,,,9,707,496,,,,,,,,,,,,,,,,7,717,334,,,,,,
153,5151.0,,,,,,,,,,9,544,478,,,,,,,9,707,490,,,,,,,,,,,,,,,,7,717,328,,,,,,
154,5181.9,,,,,,,,,,9,543,473,,,,,,,8,706,484,,,,,,,,,,,,,,,,7,716,322,,,,,,
155,5213.7,,,,,,,,,,9,542,467,,,,,,,9,705,478,,,,,,,,,,,,,,,,7,715,316,,,,,,
156,5249.5,,,,,,,,,,9,542,461,,,,,,,9,705,472,,,,,,,,,,,,,,,,7,714,310,,,,,,
157,5287.6,,,,,,,,,,9,541,456,,,,,,,9,704,466,,,,,,,,,,,,,,,,8,714,305,,,,,,
158,5316.5,,,,,,,,,,9,540,450,,,,,,,9,703,460,,,,,,,,,,,,,,,,7,713,299,,,,,,
159,5352.7,,,,,,,,,,8,540,444,,,,,,,8,703,454,,,,,,,,,,,,,,,,7,712,292,,,,,,
160,5387.0,,,,,,,,,,8,539,438,,,,,,,9,702,448,,,,,,,,,,,,,,,,7,711,286,,,,,,
161,5413.8,,,,,,,,,,9,538,432,,,,,,,8,701,442,,,,,,,,,,,,,,,,7,710,280,,,,,,
162,5449.8,,,,,,,,,,9,538,426,,,,,,,8,701,436,,,,,,,,,,,,,,,,7,709,273,,,,,,
163,5481.7,,,,,,,,,,9,537,420,,,,,,,8,700,430,,,,,,,,,,,,,,,,7,709,267,,,,,,
164,5513.9,,,,,,,,,,8,537,414,,,,,,,9,700,423,,,,,,,,,,,,,,,,7,708,261,,,,,,
165,5549.8,,,,,,,,,,9,536,408,,,,,,,8,699,417,,,,,,,,,,,,,,,,7,707,255,,,,,,
166,5581.8,,,,,,,,,,9,536,402,,,,,,,8,698,411,,,,,,,,,,,,,,,,7,706,248,,,,,,
167,5614.3,,,,,,,,,,9,535,396,,,,,,,8,698,404,,,,,,,,,,,,,,,,7,705,242,,,,,,
168,5649.7,,,,,,,,,,9,535,389,,,,,,,9,697,398,,,,,,,,,,,,,,,,7,704,235,,,,,,
169,5681.8,,,,,,,,,,9,534,384,,,,,,,8,697,392,,,,,,,,,,,,,,,,7,704,229,,,,,,
170,5713.9,,,,,,,,,,9,533,377,,,,,,,9,696,385,,,,,,,,,,,,,,,,7,703,222,,,,,,
171,5750.0,,,,,,,,,,9,533,370,,,,,,,9,696,378,,,,,,,,,,,,,,,,7,703,215,,,,,,
172,5782.0,,,,,,,,,,9,532,364,,,,,,,9,695,372,,,,,,,,,,,,,,,,7,702,208,,,,,,
173,5814.6,,,,,,,,,,9,531,357,,,,,,,9,695,365,,,,,,,,,,,,,,,,7,701,201,,,,,,
174,5849.7,,,,,,,,,,9,531,350,,,,,,,9,694,358,,,,,,,,,,,,,,,,7,700,194,,,,,,
